"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Michael Leighton","16-17","CAR","G",4,210.28,12,93.56,133.68,8.94,87.17,91.02,93.31,-2.29,-3.91,-3.06
"Michal Neuvirth","14-15","BUF","G",27,1543.8,77,960.36,1343.07,78.94,91.98,94.27,94.12,0.14,4.9,1.94
"Michal Neuvirth","14-15","NYI","G",5,305.95,15.1,133.14,178.91,12.28,88.66,91.56,93.14,-1.58,-3.75,-2.82
"Michal Neuvirth","15-16","PHI","G",32,1825.52,68.59,904.83,1236.06,80.76,92.42,94.45,93.47,0.98,8.5,12.17
"Michal Neuvirth","16-17","PHI","G",28,1363.63,64.01,598.66,834.76,51.49,89.31,92.33,93.83,-1.5,-12.25,-12.52
"Michal Neuvirth","17-18","PHI","G",21,1038.72,46.02,536.96,731.05,44.92,91.43,93.7,93.86,-0.15,1.08,-1.1
"Michal Neuvirth","18-19","PHI","G",7,365.63,26.69,191.84,255.07,16.85,86.09,89.54,93.39,-3.86,-9.4,-9.84
"Mike Condon","15-16","MTL","G",55,3122.73,142.32,1468.92,2039.22,131.03,90.31,93.02,93.57,-0.55,-17.17,-11.29
"Mike Condon","16-17","OTT","G",40,2304,94.94,1110.62,1615.64,98.95,91.45,94.12,93.88,0.25,1.08,4.01
"Mike Condon","17-18","OTT","G",31,1626.42,88.52,916.71,1258.18,75.43,90.34,92.96,94,-1.04,-8.11,-13.09
"Mike Condon","18-19","OTT","G",2,75.25,7.83,41.33,51.68,2.96,81.05,84.85,94.27,-9.42,-4.1,-4.87
"Mike McKenna","17-18","DAL","G",2,101.33,4.9,53.04,74.1,4.29,90.76,93.39,94.21,-0.82,-0.25,-0.61
"Mike McKenna","18-19","OTT","G",10,454.38,29.62,301.58,386.16,20.8,90.18,92.33,94.61,-2.28,-2.43,-8.82
"Mike Smith","14-15","ARI","G",62,3555.77,188.99,1995.07,2748.43,170.1,90.53,93.12,93.81,-0.69,-18.86,-18.89
"Mike Smith","15-16","ARI","G",32,1753.5,76.17,896.23,1284.33,73.65,91.5,94.07,94.27,-0.2,0.19,-2.52
"Mike Smith","16-17","ARI","G",55,3202.13,157.45,1840.4,2693.76,171.68,91.44,94.16,93.63,0.53,1.65,14.23
"Mike Smith","17-18","CGY","G",55,3190.6,143.84,1703.08,2406.88,156.37,91.55,94.02,93.5,0.52,5.54,12.53
"Mike Smith","18-19","CGY","G",42,2400.32,109.97,1072.47,1504.29,101.82,89.75,92.69,93.23,-0.54,-13.29,-8.15
"Mikko Koskinen","18-19","EDM","G",55,2991.85,145.99,1544.89,2119.85,141.41,90.55,93.11,93.33,-0.22,-6.72,-4.58
"Niklas Backstrom","14-15","MIN","G",19,1004.88,51.52,463.45,643.11,37.67,88.88,91.99,94.14,-2.15,-12,-13.85
"Niklas Backstrom","15-16","CGY","G",4,232.72,12.73,110.29,152.01,9.74,88.46,91.63,93.59,-1.97,-3.34,-2.99
"Niklas Svedberg","14-15","BOS","G",18,900.2,34.77,420.91,588.96,35.13,91.74,94.1,94.04,0.06,1.13,0.36
"Ondrej Pavelec","14-15","WPG","G",50,2837.85,108.03,1335.27,1830.74,128.04,91.91,94.1,93.01,1.09,5.84,20.01
"Ondrej Pavelec","15-16","WPG","G",33,1899.02,88.91,945.18,1320.71,93.48,90.59,93.27,92.92,0.35,-8.38,4.57
"Ondrej Pavelec","16-17","WPG","G",8,439.5,26.29,231.06,293.15,20.06,88.62,91.03,93.16,-2.13,-6.32,-6.23
"Ondrej Pavelec","17-18","NYR","G",19,903.7,47.17,536.5,735.71,50.98,91.21,93.59,93.07,0.52,-0.11,3.81
"Oscar Dansk","17-18","VGK","G",4,168.6,4.9,89.79,116.9,8.12,94.54,95.81,93.05,2.75,2.97,3.22
"Pekka Rinne","14-15","NSH","G",64,3850.78,140.28,1796.99,2457.37,138.43,92.19,94.29,94.37,-0.08,12.96,-1.85
"Pekka Rinne","15-16","NSH","G",66,3895.37,162.04,1736.09,2322.02,137.21,90.67,93.02,94.09,-1.07,-14.12,-24.83
"Pekka Rinne","16-17","NSH","G",61,3567.78,143.78,1752.04,2429.94,143.35,91.79,94.08,94.1,-0.02,7.69,-0.43
"Pekka Rinne","17-18","NSH","G",59,3475.45,134.4,1802.28,2407.19,152.23,92.54,94.42,93.68,0.74,23.69,17.83
"Pekka Rinne","18-19","NSH","G",56,3219.73,130.31,1583.57,2155.43,139.99,91.77,93.95,93.51,0.45,12.45,9.68
"Peter Budaj","16-17","L.A","G",53,3029.4,107.31,1284.21,1855.53,114.91,91.64,94.22,93.81,0.41,3.71,7.6
"Peter Budaj","16-17","T.B","G",7,278.87,12.68,126.28,173.25,10.57,89.96,92.68,93.9,-1.22,-1.76,-2.11
"Peter Budaj","17-18","T.B","G",8,430.4,26.52,216.26,289.22,18.25,87.74,90.83,93.69,-2.86,-7.55,-8.27
"Peter Budaj","18-19","L.A","G",3,71.75,6.51,36.92,50.12,3.21,82.37,87.01,93.6,-6.58,-3.18,-3.3
"Petr Mrazek","14-15","DET","G",29,1584.83,62.12,749.77,999.75,65.59,91.71,93.79,93.44,0.35,1.81,3.47
"Petr Mrazek","15-16","DET","G",54,2960.22,115.43,1456.9,1984.95,126.33,92.08,94.18,93.64,0.55,8.7,10.9
"Petr Mrazek","16-17","DET","G",50,2857.52,145.21,1482.14,2019.64,129.99,90.2,92.81,93.56,-0.75,-17.08,-15.22
"Petr Mrazek","17-18","DET","G",22,1183.52,56.46,628.7,884.84,55.6,91.02,93.62,93.72,-0.1,-1.31,-0.86
"Petr Mrazek","17-18","PHI","G",17,913.18,48.83,452.59,630.1,40.06,89.21,92.25,93.64,-1.39,-9.13,-8.77
"Petr Mrazek","18-19","CAR","G",40,2386.78,94.6,1090.9,1535.85,98.89,91.33,93.84,93.56,0.28,3.74,4.29
"Pheonix Copley","18-19","WSH","G",27,1528.93,73.27,768.66,1058.91,73.24,90.47,93.08,93.08,0,-3.97,-0.03
"Philipp Grubauer","15-16","WSH","G",22,1111.03,43.4,533.28,772.57,47.01,91.86,94.38,93.92,0.47,2.04,3.61
"Philipp Grubauer","16-17","WSH","G",24,1264.57,41.49,568.21,801.3,52.29,92.7,94.82,93.47,1.35,7.63,10.8
"Philipp Grubauer","17-18","WSH","G",35,1864.8,72.08,936.98,1371.77,89.41,92.31,94.75,93.48,1.26,10.11,17.33
"Philipp Grubauer","18-19","COL","G",37,2020.73,89.14,1062.99,1444.96,86.05,91.61,93.83,94.04,-0.21,6.69,-3.09
"Ray Emery","14-15","PHI","G",31,1569.52,79.44,759.47,1069.73,65.16,89.54,92.57,93.91,-1.33,-14.68,-14.28
"Reto Berra","14-15","COL","G",19,748.45,33.11,410.09,550.07,33.2,91.93,93.98,93.96,0.02,1.86,0.09
"Reto Berra","15-16","COL","G",14,720.72,28.51,368.26,513.27,29.09,92.26,94.45,94.33,0.11,2.87,0.58
"Reto Berra","16-17","FLA","G",7,313.12,17.99,151.63,221.53,15.04,88.14,91.88,93.21,-1.33,-4.88,-2.95
"Reto Berra","17-18","ANA","G",5,181.92,6.71,94.22,137.48,8.87,92.88,95.12,93.55,1.57,1.56,2.16
"Richard Bachman","14-15","EDM","G",6,316.72,14.47,166.44,235.64,16.18,91.31,93.86,93.13,0.73,-0.28,1.71
"Richard Bachman","16-17","VAN","G",5,295.18,12.51,158.68,231.18,14.56,92.12,94.59,93.7,0.89,1.21,2.05
"Rob Zepp","14-15","PHI","G",10,519.02,24.58,224.16,332.11,22.4,89.03,92.6,93.26,-0.66,-5.47,-2.18
"Roberto Luongo","14-15","FLA","G",61,3528.18,137.67,1748.62,2369.51,133.8,92.13,94.19,94.35,-0.16,11.44,-3.87
"Roberto Luongo","15-16","FLA","G",62,3601.83,142.13,1782.41,2406.57,143.79,92.03,94.09,94.03,0.07,9.73,1.66
"Roberto Luongo","16-17","FLA","G",40,2327.62,104.73,1227.34,1592.61,102.92,91.47,93.42,93.54,-0.11,1.38,-1.81
"Roberto Luongo","17-18","FLA","G",35,1965.87,81.22,1144.75,1501.58,92.83,92.91,94.59,93.82,0.77,19.19,11.61
"Roberto Luongo","18-19","FLA","G",43,2346.57,120.96,1197.03,1677.16,107.69,89.89,92.79,93.58,-0.79,-13.05,-13.27
"Robin Lehner","14-15","OTT","G",25,1471.55,74.37,791.62,1067.91,63.12,90.61,93.04,94.09,-1.05,-6.86,-11.25
"Robin Lehner","15-16","BUF","G",21,1164.08,48.73,642.41,870.47,47.3,92.41,94.4,94.57,-0.16,6,-1.43
"Robin Lehner","16-17","BUF","G",59,3405.47,152.98,1928.66,2586.16,144.75,92.07,94.08,94.4,-0.32,13.76,-8.23
"Robin Lehner","17-18","BUF","G",53,2852.02,143.35,1580.67,2138.81,126.69,90.93,93.3,94.08,-0.78,-4.71,-16.66
"Robin Lehner","18-19","NYI","G",46,2615.82,92.17,1305.48,1797.44,111.07,92.94,94.87,93.82,1.05,25.52,18.9
"Ryan Miller","14-15","VAN","G",45,2541.47,108.07,1186.48,1666.11,104.82,90.89,93.51,93.71,-0.2,-6.89,-3.25
"Ryan Miller","15-16","VAN","G",51,3043.45,136.92,1636.2,2193.99,143.41,91.63,93.76,93.46,0.3,2.48,6.49
"Ryan Miller","16-17","VAN","G",54,3211.75,151.75,1775.54,2363.52,148.71,91.45,93.58,93.71,-0.13,1.75,-3.04
"Ryan Miller","17-18","ANA","G",28,1353.27,51.35,722.87,999.17,66.44,92.9,94.86,93.35,1.51,12.05,15.09
"Ryan Miller","18-19","ANA","G",20,1108.8,51.17,579.44,814.91,53.61,91.17,93.72,93.42,0.3,1.07,2.44
"Sam Montembeault","18-19","FLA","G",11,591.4,29.91,284.94,408.38,26.9,89.5,92.68,93.41,-0.74,-4.22,-3.01
"Scott Clemmensen","14-15","N.J","G",3,101.58,7.84,51.96,66.83,5.79,84.91,88.27,91.34,-3.07,-3.41,-2.05
"Scott Darling","14-15","CHI","G",14,832.52,25.73,406.67,544.08,35.22,93.67,95.27,93.53,1.74,8.95,9.49
