"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Alex Lyon","17-18","PHI","G",11,479.8,21.55,234.04,332.88,20.99,90.79,93.53,93.69,-0.17,-1.02,-0.56
"Alex Stalock","14-15","S.J","G",22,1236.5,54.26,556.45,767.85,51.19,90.25,92.93,93.33,-0.4,-6.81,-3.07
"Alex Stalock","15-16","S.J","G",13,674.13,33.22,290.59,384.93,24.23,88.57,91.37,93.71,-2.34,-8.46,-8.99
"Alex Stalock","16-17","MIN","G",2,118.92,2.99,53.89,76.18,4.45,94.45,96.08,94.16,1.92,1.66,1.46
"Alex Stalock","17-18","MIN","G",28,1495.27,69.16,784.45,1127.65,61.78,91.18,93.87,94.52,-0.65,-0.36,-7.38
"Alex Stalock","18-19","MIN","G",21,1065.1,53.77,547.06,784.01,44.61,90.17,93.14,94.31,-1.17,-4.46,-9.16
"Alexandar Georgiev","17-18","NYR","G",10,514.77,27.46,337.69,444.9,28.73,91.87,93.83,93.54,0.29,2.16,1.27
"Alexandar Georgiev","18-19","NYR","G",33,1874.17,90.28,1060.07,1471.99,99.51,91.48,93.87,93.24,0.63,5.28,9.23
"Anders Lindback","14-15","BUF","G",16,890.98,40.56,546.78,749.55,38.46,92.58,94.59,94.87,-0.28,6.07,-2.1
"Anders Lindback","14-15","DAL","G",10,516.98,32.23,261.73,352.4,22.68,87.69,90.85,93.56,-2.71,-9.91,-9.55
"Anders Lindback","15-16","ARI","G",19,906.13,47.89,458.9,640.04,37.9,89.56,92.52,94.08,-1.56,-8.79,-9.99
"Anders Nilsson","15-16","EDM","G",26,1413.28,72.76,746.49,1036.54,68.37,90.25,92.98,93.4,-0.42,-9.16,-4.39
"Anders Nilsson","15-16","STL","G",3,87.3,3.99,44.07,59.97,4.67,90.95,93.35,92.21,1.13,-0.24,0.68
"Anders Nilsson","16-17","BUF","G",26,1484.25,64.98,858.16,1196.08,75.82,92.43,94.57,93.66,0.91,9.21,10.84
"Anders Nilsson","17-18","VAN","G",27,1463.68,84.13,863.71,1170.63,73.55,90.26,92.81,93.72,-0.9,-8.37,-10.58
"Anders Nilsson","18-19","OTT","G",24,1321.87,63.57,746.08,1047.14,59.49,91.48,93.93,94.32,-0.39,3.69,-4.08
"Anders Nilsson","18-19","VAN","G",12,717.93,37.14,361.5,512.33,32.62,89.73,92.75,93.63,-0.88,-4.55,-4.52
"Andrei Vasilevskiy","14-15","T.B","G",16,864.12,33.25,412.93,563.48,32.61,91.95,94.1,94.21,-0.11,1.96,-0.64
"Andrei Vasilevskiy","15-16","T.B","G",24,1258.63,56.9,635.74,886.07,49.8,91.05,93.58,94.38,-0.8,-2.73,-7.1
"Andrei Vasilevskiy","16-17","T.B","G",50,2831.27,125.16,1500.55,2007.44,113.59,91.66,93.77,94.34,-0.58,4.56,-11.57
"Andrei Vasilevskiy","17-18","T.B","G",65,3825.18,168.43,2050.46,2734.75,151.69,91.79,93.84,94.45,-0.61,11.42,-16.74
"Andrei Vasilevskiy","18-19","T.B","G",53,3203.75,128.53,1692.69,2268.18,135.55,92.41,94.33,94.02,0.31,24.06,7.02
"Andrew Hammond","14-15","OTT","G",24,1410.98,42.75,700.14,958.05,56.47,93.89,95.54,94.11,1.43,16.95,13.72
"Andrew Hammond","15-16","OTT","G",24,1382.32,61.72,721.31,999.47,62.68,91.44,93.82,93.73,0.1,-0.27,0.96
"Andrew Hammond","16-17","OTT","G",6,190.08,13.37,85.73,122.96,9.21,84.4,89.13,92.51,-3.38,-5.96,-4.16
"Andrew Hammond","17-18","COL","G",1,58.37,2.13,36.68,51.14,3.54,94.19,95.83,93.08,2.76,1.09,1.41
"Andrey Makarov","14-15","BUF","G",1,60,2.91,37.06,55.55,4.09,92.15,94.76,92.64,2.12,0.25,1.18
"Anthony Stolarz","16-17","PHI","G",7,376.08,12.97,180.75,243.62,15.75,92.82,94.68,93.54,1.14,2.65,2.78
"Anthony Stolarz","18-19","EDM","G",6,238.68,15.57,160.58,206.78,13.9,90.3,92.47,93.28,-0.81,-1.09,-1.67
"Anthony Stolarz","18-19","PHI","G",12,629.73,34.6,362.44,460.51,29.16,90.45,92.49,93.67,-1.18,-1.93,-5.44
"Antoine Bibeau","16-17","TOR","G",2,120.65,4.14,56.17,88.49,4.67,92.63,95.32,94.72,0.6,0.72,0.53
"Anton Forsberg","14-15","CBJ","G",5,255.72,20.68,157.64,191.2,15.98,86.88,89.18,91.64,-2.46,-7.24,-4.7
"Anton Forsberg","15-16","CBJ","G",4,178.15,8.74,100.85,133.89,10.42,91.33,93.47,92.22,1.25,-0.15,1.68
"Anton Forsberg","17-18","CHI","G",35,1714.78,84.86,927.54,1209.65,80.17,90.85,92.98,93.37,-0.39,-3.5,-4.69
"Anton Khudobin","14-15","CAR","G",34,1920.35,86.26,893.72,1272.81,85.83,90.35,93.22,93.26,-0.03,-10.05,-0.43
"Anton Khudobin","15-16","ANA","G",9,356.33,16.51,176.85,253.69,18.76,90.66,93.49,92.61,0.89,-1.45,2.25
"Anton Khudobin","16-17","BOS","G",16,884.78,39.91,415.3,574.81,36.9,90.39,93.06,93.58,-0.52,-4.01,-3.01
"Anton Khudobin","17-18","BOS","G",31,1780.72,75.13,863.7,1194.88,74.18,91.3,93.71,93.79,-0.08,0.62,-0.95
"Anton Khudobin","18-19","DAL","G",41,2219.5,94.58,1233.47,1691.67,103.15,92.33,94.41,93.9,0.51,16.61,8.57
"Antti Niemi","14-15","S.J","G",61,3587.9,155.55,1795.29,2533.81,153.29,91.34,93.86,93.95,-0.09,-2.45,-2.26
"Antti Niemi","15-16","DAL","G",48,2654.38,118.12,1246.68,1809.77,119.79,90.53,93.47,93.38,0.09,-11.9,1.67
"Antti Niemi","16-17","DAL","G",37,1728.5,95.6,897.82,1283.37,85.99,89.35,92.55,93.3,-0.75,-17.98,-9.61
"Antti Niemi","17-18","FLA","G",2,58.7,5.47,45.19,57.26,3.88,87.9,90.45,93.22,-2.78,-1.5,-1.59
"Antti Niemi","17-18","MTL","G",19,1026.27,41.73,590.34,850.3,56.08,92.93,95.09,93.4,1.69,10.05,14.35
"Antti Niemi","17-18","PIT","G",3,128.13,15.63,82.3,107.34,7.76,81.01,85.44,92.77,-7.33,-8.41,-7.87
"Antti Niemi","18-19","MTL","G",17,968.8,59.83,534.49,710.83,42.18,88.81,91.58,94.07,-2.48,-11.65,-17.65
"Antti Raanta","14-15","CHI","G",14,792.18,25.18,390.19,521.29,30.82,93.55,95.17,94.09,1.08,8.09,5.64
"Antti Raanta","15-16","NYR","G",25,1150.35,43.01,528.47,741.5,51.7,91.86,94.2,93.03,1.17,2.02,8.69
"Antti Raanta","16-17","NYR","G",30,1617.33,60.88,772.12,1067.37,67.61,92.12,94.3,93.67,0.63,5.87,6.73
"Antti Raanta","17-18","ARI","G",47,2599.05,98.07,1397.5,2044.37,123.21,92.98,95.2,93.97,1.23,24.51,25.14
"Antti Raanta","18-19","ARI","G",12,687.1,34.27,356.87,514.5,33.57,90.4,93.34,93.48,-0.14,-2.1,-0.7
"Ben Bishop","14-15","T.B","G",62,3519,135.38,1604.9,2243.13,133.32,91.56,93.96,94.06,-0.09,1.48,-2.06
"Ben Bishop","15-16","T.B","G",61,3584.63,122.73,1665.24,2333.14,130.59,92.63,94.74,94.4,0.34,19.15,7.86
"Ben Bishop","16-17","L.A","G",7,410.02,17.47,174.36,248.04,17.12,89.98,92.96,93.1,-0.14,-2.39,-0.35
"Ben Bishop","16-17","T.B","G",32,1812.6,77.11,861.37,1213.66,74.16,91.05,93.65,93.89,-0.24,-2.64,-2.95
"Ben Bishop","17-18","DAL","G",53,2886.83,120.82,1449.33,1999.22,124.44,91.66,93.96,93.78,0.18,6.31,3.62
"Ben Bishop","18-19","DAL","G",46,2637.3,87.55,1313,1825.73,109.29,93.33,95.2,94.01,1.19,30.82,21.74
"Ben Scrivens","14-15","EDM","G",57,3227.57,172.18,1566.14,2211.76,140.02,89.01,92.22,93.67,-1.45,-38.63,-32.16
